email,first_name,last_name,password,role,course_codes
professor_1@example.com,professor_1,Professor,admin123,professor,
professor_2@example.com,professor_2,Professor,admin123,professor,
professor_3@example.com,professor_3,Professor,admin123,professor,
professor_4@example.com,professor_4,Professor,admin123,professor,
professor_5@example.com,professor_5,Professor,admin123,professor,
student_1@example.com,student_1,Student,admin123,student,
student_2@example.com,student_2,Student,admin123,student,
student_3@example.com,student_3,Student,admin123,student,
student_4@example.com,student_4,Student,admin123,student,
student_5@example.com,student_5,Student,admin123,student,
student_6@example.com,student_6,Student,admin123,student,
student_7@example.com,student_7,Student,admin123,student,
student_8@example.com,student_8,Student,admin123,student,
student_9@example.com,student_9,Student,admin123,student,
student_10@example.com,student_10,Student,admin123,student,
student_11@example.com,student_11,Student,admin123,student,
student_12@example.com,student_12,Student,admin123,student,
student_13@example.com,student_13,Student,admin123,student,
student_14@example.com,student_14,Student,admin123,student,
student_15@example.com,student_15,Student,admin123,student,
student_16@example.com,student_16,Student,admin123,student,
student_17@example.com,student_17,Student,admin123,student,
student_18@example.com,student_18,Student,admin123,student,
student_19@example.com,student_19,Student,admin123,student,
student_20@example.com,student_20,Student,admin123,student,
