email,first_name,last_name,password,course_codes,can_self_enroll_face
student_1@example.com,student_1,Student,admin123,,true
student_2@example.com,student_2,Student,admin123,,true
student_3@example.com,student_3,Student,admin123,,true
student_4@example.com,student_4,Student,admin123,,true
student_5@example.com,student_5,Student,admin123,,true
student_6@example.com,student_6,Student,admin123,,true
student_7@example.com,student_7,Student,admin123,,true
student_8@example.com,student_8,Student,admin123,,true
student_9@example.com,student_9,Student,admin123,,true
student_10@example.com,student_10,Student,admin123,,true
student_11@example.com,student_11,Student,admin123,,true
student_12@example.com,student_12,Student,admin123,,true
student_13@example.com,student_13,Student,admin123,,true
student_14@example.com,student_14,Student,admin123,,true
student_15@example.com,student_15,Student,admin123,,true
student_16@example.com,student_16,Student,admin123,,true
student_17@example.com,student_17,Student,admin123,,true
student_18@example.com,student_18,Student,admin123,,true
student_19@example.com,student_19,Student,admin123,,true
student_20@example.com,student_20,Student,admin123,,true
